Configuration,Run,Time(s),MFLOPS
Original,1,0.0129,817.183463
Original,2,0.020873,505.038407
Original,3,0.008376,1258.556192
Original,4,0.008634,1220.948189
Original,5,0.00826,1276.230831
Original,6,0.008431,1250.345946
Original,7,0.008973,1174.820759
Original,8,0.010099,1043.832723
Original,9,0.008772,1201.740386
Original,10,0.008248,1278.087617
Original,11,0.008444,1248.42097
Original,12,0.008442,1248.716734
Original,13,0.00817,1290.289678
Original,14,0.014129,746.101399
Original,15,0.009709,1085.762351
Original,16,0.008688,1213.359423
Original,17,0.009723,1084.198978
Original,18,0.015805,666.983022
Original,19,0.008484,1242.534968
Original,20,0.009624,1095.351898
Obfuscated,1,2.006273,5.254353
Obfuscated,2,2.046926,5.149999
Obfuscated,3,2.063208,5.109357
Obfuscated,4,2.022241,5.212864
Obfuscated,5,2.074305,5.082023
Obfuscated,6,2.005971,5.255144
Obfuscated,7,2.064789,5.105445
Obfuscated,8,2.012004,5.239387
Obfuscated,9,2.059214,5.119267
Obfuscated,10,1.994828,5.284499
Obfuscated,11,2.12849,4.95265
Obfuscated,12,2.092455,5.037942
Obfuscated,13,2.014666,5.232464
Obfuscated,14,2.195004,4.802573
Obfuscated,15,2.052703,5.135505
Obfuscated,16,2.00544,5.256536
Obfuscated,17,2.049582,5.143325
Obfuscated,18,2.075909,5.078097
Obfuscated,19,2.100646,5.018298
Obfuscated,20,2.059814,5.117776
Tigress,1,0.496174,21.245907
Tigress,2,0.555244,18.985647
Tigress,3,0.490737,21.481296
Tigress,4,0.479995,21.962034
Tigress,5,0.492565,21.401575
Tigress,6,0.510507,20.649407
Tigress,7,0.47408,22.23605
Tigress,8,0.47082,22.390015
Tigress,9,0.571268,18.453102
Tigress,10,0.486375,21.673948
Tigress,11,0.475514,22.168993
Tigress,12,0.49113,21.464107
Tigress,13,0.516449,20.411825
Tigress,14,0.477269,22.087474
Tigress,15,0.498326,21.154157
Tigress,16,0.488849,21.564259
Tigress,17,0.601965,17.512092
Tigress,18,0.490188,21.505354
Tigress,19,0.479771,21.972288
Tigress,20,0.486886,21.651201
VMProtect,1,191.344018,0.055093
VMProtect,2,191.424628,0.05507
VMProtect,3,191.495753,0.055049
VMProtect,4,191.393508,0.055078
VMProtect,5,191.639542,0.055008
VMProtect,6,191.641045,0.055007
VMProtect,7,192.211457,0.054844
VMProtect,8,191.66241,0.055001
VMProtect,9,191.99835,0.054905
VMProtect,10,191.487183,0.055052
VMProtect,11,191.175092,0.055141
VMProtect,12,191.322965,0.055099
VMProtect,13,191.709765,0.054988
VMProtect,14,191.33759,0.055095
VMProtect,15,191.208677,0.055132
VMProtect,16,191.356879,0.055089
VMProtect,17,191.123471,0.055156
VMProtect,18,191.325176,0.055098
VMProtect,19,190.947088,0.055207
VMProtect,20,191.830535,0.054953
